user_id,order_id,product_id,product_name,category,order_date,quantity,category_encoded
AE2E632GMYL5U2ESNXOX5UT5D34A,O0000001,B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2024-05-02,1,0
AE2ODWBBOBD2SITDDIEJ644OSRFQ,O0000002,B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",2024-10-08,1,5
AE2PYPC3OF2HEF4NCE63FBFFFOMQ,O0000003,B09L8DSSFH,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED and Suitable for 6 7 8 Series Samsung TV with Hot Keys BN59-01259E,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",2024-01-28,2,3
AE2THTCCQLBIUSWPF4CPXC6GGP7Q,O0000004,B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",2024-08-13,3,5
AE2VXY4CFO36MDSIMPG43XHNF4GA,O0000005,B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,2024-04-17,3,1
AE2VXY4CFO36MDSIMPG43XHNF4GA,O0000006,B0088TKTY2,"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,2024-05-09,1,1
AE3CFONNMANNC5QPYIAXV67EUYUQ,O0000007,B0B15CPR37,Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",2024-10-22,1,5
AE3CFONNMANNC5QPYIAXV67EUYUQ,O0000007,B092BJMT8Q,Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",2024-10-22,1,5
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,O0000008,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",2024-12-27,3,2
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,O0000009,B014I8SX4Y,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",2025-01-23,3,2
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,O0000009,B014I8SSD0,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",2025-01-23,2,2
AE3MQNNHHLUHXURL5S7IAR7JTGNQ,O0000010,B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,2024-07-22,3,0
AE3O6366WGEQAANKJ76QETTUQQTQ,O0000011,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",2024-03-03,3,2
AE3O6366WGEQAANKJ76QETTUQQTQ,O0000011,B014I8SX4Y,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",2024-03-03,1,2
AE3O6366WGEQAANKJ76QETTUQQTQ,O0000011,B014I8SSD0,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",2024-03-03,3,2
