user_id,product_id,rank,score
AE2VXY4CFO36MDSIMPG43XHNF4GA,B09VCHLSJF,1,2.149049411809033e-16
AE2VXY4CFO36MDSIMPG43XHNF4GA,B08Y1TFSP6,2,1.6113103045685943e-16
AE2VXY4CFO36MDSIMPG43XHNF4GA,B098NS6PVG,3,1.563408388433815e-16
AE2VXY4CFO36MDSIMPG43XHNF4GA,B07XLCFSSN,4,1.1831376063884503e-16
AE2VXY4CFO36MDSIMPG43XHNF4GA,B08HDH26JX,5,1.0219696171362378e-16
AE2VXY4CFO36MDSIMPG43XHNF4GA,B0711PVX6Z,6,9.89724232563399e-17
AE2VXY4CFO36MDSIMPG43XHNF4GA,B082LSVT4B,7,8.94419660048532e-17
AE2VXY4CFO36MDSIMPG43XHNF4GA,B07B275VN9,8,8.691515174231572e-17
AE2VXY4CFO36MDSIMPG43XHNF4GA,B0B1YZX72F,9,8.649815166123342e-17
AE2VXY4CFO36MDSIMPG43XHNF4GA,B08Y1SJVV5,10,8.359625164035227e-17
AE3CFONNMANNC5QPYIAXV67EUYUQ,B09Q5SWVBJ,1,1.512188209282299e-15
AE3CFONNMANNC5QPYIAXV67EUYUQ,B07JH1C41D,2,6.990984434439752e-16
AE3CFONNMANNC5QPYIAXV67EUYUQ,B08Y1TFSP6,3,6.343749496925699e-16
AE3CFONNMANNC5QPYIAXV67EUYUQ,B082LZGK39,4,6.255161954701836e-16
AE3CFONNMANNC5QPYIAXV67EUYUQ,B09NKZXMWJ,5,6.190870001733819e-16
AE3CFONNMANNC5QPYIAXV67EUYUQ,B08HDJ86NZ,6,5.548256850612618e-16
AE3CFONNMANNC5QPYIAXV67EUYUQ,B014I8SSD0,7,1.9569406533648306e-16
AE3CFONNMANNC5QPYIAXV67EUYUQ,B09VCHLSJF,8,1.9259355431271055e-16
AE3CFONNMANNC5QPYIAXV67EUYUQ,B07KSMBL2H,9,1.7893461941939528e-16
AE3CFONNMANNC5QPYIAXV67EUYUQ,B07MKFNHKG,10,1.6490501796634564e-16
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,B098NS6PVG,1,1.26038513279504e-15
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,B09NJN8L25,2,6.59324883221586e-16
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,B07232M876,3,5.949278773325081e-16
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,B09F9YQQ7B,4,5.895377378135011e-16
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,B082LSVT4B,5,5.858945491998956e-16
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,B08HDJ86NZ,6,5.450248866083602e-16
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,B08Y1SJVV5,7,5.357577883455529e-16
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,B01M4GGIVU,8,4.959549917701918e-16
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,B01GGKZ0V6,9,4.053359523438623e-16
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,B0789LZTCJ,10,3.712452669888157e-16
AE3O6366WGEQAANKJ76QETTUQQTQ,B098NS6PVG,1,1.1839700585307992e-15
AE3O6366WGEQAANKJ76QETTUQQTQ,B0789LZTCJ,2,5.374779379736138e-16
AE3O6366WGEQAANKJ76QETTUQQTQ,B09Q5SWVBJ,3,5.184623333059302e-16
AE3O6366WGEQAANKJ76QETTUQQTQ,B09RFC46VP,4,5.065771485113033e-16
AE3O6366WGEQAANKJ76QETTUQQTQ,B09NJN8L25,5,4.839572095789311e-16
AE3O6366WGEQAANKJ76QETTUQQTQ,B0B3MMYHYW,6,4.1749468439723296e-16
AE3O6366WGEQAANKJ76QETTUQQTQ,B082LSVT4B,7,3.957915106912809e-16
AE3O6366WGEQAANKJ76QETTUQQTQ,B08HDJ86NZ,8,3.847124784954154e-16
AE3O6366WGEQAANKJ76QETTUQQTQ,B09VCHLSJF,9,3.69320761789692e-16
AE3O6366WGEQAANKJ76QETTUQQTQ,B09NHVCHS9,10,3.68407909250977e-16
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,B09NKZXMWJ,1,6.234637741618835e-16
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,B014I8SSD0,2,6.0921953491402e-16
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,B082LZGK39,3,6.007776834240553e-16
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,B077Z65HSD,4,4.75337002959782e-16
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,B0789LZTCJ,5,4.667730923318736e-16
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,B07JW9H4J1,6,4.021794014675168e-16
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,B07KSMBL2H,7,3.635513967474127e-16
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,B098NS6PVG,8,3.074341403008572e-16
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,B008FWZGSG,9,2.98525608709115e-16
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,B0711PVX6Z,10,2.8941183162689335e-16
AE7GD3VRRYQEAHDR7FXJIR23INYA,B09VCHLSJF,1,4.298098823618066e-16
AE7GD3VRRYQEAHDR7FXJIR23INYA,B08Y1TFSP6,2,3.2226206091371886e-16
AE7GD3VRRYQEAHDR7FXJIR23INYA,B098NS6PVG,3,3.12681677686763e-16
AE7GD3VRRYQEAHDR7FXJIR23INYA,B07XLCFSSN,4,2.3662752127769007e-16
AE7GD3VRRYQEAHDR7FXJIR23INYA,B08HDH26JX,5,2.0439392342724756e-16
AE7GD3VRRYQEAHDR7FXJIR23INYA,B0711PVX6Z,6,1.979448465126798e-16
AE7GD3VRRYQEAHDR7FXJIR23INYA,B082LSVT4B,7,1.788839320097064e-16
AE7GD3VRRYQEAHDR7FXJIR23INYA,B07B275VN9,8,1.7383030348463143e-16
AE7GD3VRRYQEAHDR7FXJIR23INYA,B0B1YZX72F,9,1.7299630332246685e-16
AE7GD3VRRYQEAHDR7FXJIR23INYA,B08Y1SJVV5,10,1.6719250328070453e-16
AE7OMK3IQJR2U2JZE2HQ4BKSPA6A,B08HDJ86NZ,1,1.0187962871645645e-15
AE7OMK3IQJR2U2JZE2HQ4BKSPA6A,B0B3MMYHYW,2,5.392893931036911e-16
AE7OMK3IQJR2U2JZE2HQ4BKSPA6A,B0B1YZX72F,3,4.650580722167776e-16
AE7OMK3IQJR2U2JZE2HQ4BKSPA6A,B09VCHLSJF,4,4.622381503392883e-16
