user_id,Precision,Recall,F1
AE2VXY4CFO36MDSIMPG43XHNF4GA,0.0,0.0,0.0
AE3CFONNMANNC5QPYIAXV67EUYUQ,0.0,0.0,0.0
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,0.0,0.0,0.0
AE3O6366WGEQAANKJ76QETTUQQTQ,0.0,0.0,0.0
AE55KTFVNXYFD5FPYWP2OUPEYNPQ,0.1,0.3333333333333333,0.15384615384615385
AE7GD3VRRYQEAHDR7FXJIR23INYA,0.0,0.0,0.0
AE7OMK3IQJR2U2JZE2HQ4BKSPA6A,0.0,0.0,0.0
AEA2HQHMFG3ZGJFOLLJQ65WKIZUQ,0.0,0.0,0.0
AEAMIR3CMSA32IDEINSJKHRNANTA,0.0,0.0,0.0
AEBO7NWCNXKT4AESAN443HQH35FQ,0.0,0.0,0.0
AEBWA5I4QFCA3P3OBEPMELBGN4GQ,0.1,0.3333333333333333,0.15384615384615385
AECPFYFQVRUWC3KGNLJIOREFP5LQ,0.0,0.0,0.0
AEGPWBXEAWPF6XRT7EZJOYJQA6DQ,0.1,0.5,0.16666666666666666
AEGT7WPGXXMSH5J3LZLL6CPJ7QMQ,0.0,0.0,0.0
AEKCUG7WMX6KMP6VFBWI3ICW5CBQ,0.0,0.0,0.0
AELNBR4H6235Y7NVYNCGNABDIDFQ,0.0,0.0,0.0
AENGU523SXMOS7JPDTW52PNNVWGQ,0.1,0.25,0.14285714285714285
AEP4MK3EKOBDKTGPJTRN5RBDIODA,0.0,0.0,0.0
AEP6PYK2DLTD5UCMURSUNUE4IE5A,0.0,0.0,0.0
AEPSWFPNECKO34PUC7I56ITGXR6Q,0.0,0.0,0.0
AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,0.0,0.0,0.0
AEQIJCPWSBCDKUO5VROXXHWX3PPA,0.0,0.0,0.0
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,0.1,0.25,0.14285714285714285
AERFCJ6BOMVO5YW5XM5Z2ESOIK3A,0.1,0.5,0.16666666666666666
AERQBL3BISJQVHO3RLOOA4HKZX5A,0.0,0.0,0.0
AETPKXNOTUEX5GH7WL7XQHDR5M7Q,0.1,0.5,0.16666666666666666
AEW6KBDGJEWIOQKAW3FP74GMV6TA,0.0,0.0,0.0
AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,0.0,0.0,0.0
AEYJ5I6JZZPOJB6MGWRQOHRQLPSQ,0.0,0.0,0.0
AEZ346GX3HJ4O4XNRPHCNHXQURMQ,0.0,0.0,0.0
AF2544C4RGIBQX7Y4JMKMSMXMRRQ,0.0,0.0,0.0
AF355FTXYAKFH5NYPRTE7SL3WO3Q,0.1,0.3333333333333333,0.15384615384615385
AF35OXRSRJ335IGMNW5FYCJDLHOA,0.0,0.0,0.0
AF5BU6DZ446HN4DTCO7W7AWXBJBA,0.1,0.5,0.16666666666666666
AF5ILQY4KFDTO5XHHBJ42W5DXCZQ,0.1,0.5,0.16666666666666666
AF64ON4HPPVD43H6PK3CHPTTYSSQ,0.0,0.0,0.0
AF6XISKAQXTX3Q5RUF2M2VKOJ66A,0.0,0.0,0.0
AF7IXQKBUL6NEIQG4R53LMJJUGXQ,0.0,0.0,0.0
AF7NDY2H6JVYTSQOZP76GCATQ34Q,0.0,0.0,0.0
AFBK3X6D3AHEHSYYXPL4L6JEMSLQ,0.1,0.5,0.16666666666666666
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,0.1,0.25,0.14285714285714285
AFHROSCGIXUPV3FYQ7H5QOD46Q7Q,0.1,0.3333333333333333,0.15384615384615385
AFJIYRZTBOJBOWYQ5RNA36DBBXOA,0.1,0.5,0.16666666666666666
AFMECPERM2GI2XQJSBWEPZKODISQ,0.1,0.5,0.16666666666666666
AFMIFTNTUD5PIHGONWOTRMMZ5EBA,0.0,0.0,0.0
AFNB6YVNGE6IT3AWQVSIG2TJ5L3Q,0.1,0.5,0.16666666666666666
AFNWJUWJRHCC6HN52KMG5AKZY37Q,0.1,0.3333333333333333,0.15384615384615385
AFODI4XXHXHBFFUHK7N5LVKWEXTQ,0.0,0.0,0.0
AFPHD2CRPDZMWMBL7WXRSVYWS5JA,0.0,0.0,0.0
AFSII6HTAHTHGXERUNDOISNWZUNQ,0.0,0.0,0.0
AFSMISGEYDYIP3Z42UTQU4AKOYZQ,0.1,0.5,0.16666666666666666
AFSTSLQUV4EVEXWKBOLEFHL2H5YQ,0.1,0.3333333333333333,0.15384615384615385
AFUT7ANZTZYGLXU65EQ2D5OP6UMA,0.0,0.0,0.0
AFV7ZA733ZLME4KNLZPMPCBUNPPA,0.0,0.0,0.0
AFW6NV5N3FUXV3CNUACPSYC5AB3Q,0.0,0.0,0.0
